# ./bin/go-tpc tpcc -H 127.0.0.1 -P 4000 -D tpcc --warehouses 10 run                                                     
[Current] PAYMENT - Takes(s): 10.0, Count: 177, TPM: 1067.2, Sum(ms): 3671, Avg(ms): 20, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 32
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 13, TPM: 79.0, Sum(ms): 116, Avg(ms): 8, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 8.9, Count: 14, TPM: 94.5, Sum(ms): 1297, Avg(ms): 92, 90th(ms): 112, 99th(ms): 112, 99.9th(ms): 112
[Current] NEW_ORDER - Takes(s): 10.0, Count: 169, TPM: 1015.5, Sum(ms): 4956, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 40
[Current] ORDER_STATUS - Takes(s): 7.9, Count: 16, TPM: 121.0, Sum(ms): 101, Avg(ms): 6, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.9, Count: 160, TPM: 970.6, Sum(ms): 3370, Avg(ms): 21, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 40
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 11, TPM: 66.6, Sum(ms): 101, Avg(ms): 9, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 9.5, Count: 14, TPM: 88.2, Sum(ms): 1278, Avg(ms): 91, 90th(ms): 96, 99th(ms): 96, 99.9th(ms): 96
[Current] NEW_ORDER - Takes(s): 10.0, Count: 166, TPM: 997.9, Sum(ms): 4923, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 48
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 11, TPM: 70.8, Sum(ms): 60, Avg(ms): 5, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.9, Count: 162, TPM: 984.5, Sum(ms): 3395, Avg(ms): 20, 90th(ms): 24, 99th(ms): 40, 99.9th(ms): 40
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 17, TPM: 104.2, Sum(ms): 149, Avg(ms): 8, 90th(ms): 9, 99th(ms): 9, 99.9th(ms): 9
[Current] DELIVERY - Takes(s): 9.8, Count: 13, TPM: 79.9, Sum(ms): 1380, Avg(ms): 106, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] NEW_ORDER - Takes(s): 10.0, Count: 144, TPM: 867.8, Sum(ms): 4692, Avg(ms): 32, 90th(ms): 48, 99th(ms): 64, 99.9th(ms): 64
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 17, TPM: 104.6, Sum(ms): 104, Avg(ms): 6, 90th(ms): 8, 99th(ms): 9, 99.9th(ms): 9
[Current] PAYMENT - Takes(s): 10.0, Count: 145, TPM: 871.1, Sum(ms): 3519, Avg(ms): 24, 90th(ms): 40, 99th(ms): 48, 99.9th(ms): 48
[Current] STOCK_LEVEL - Takes(s): 9.0, Count: 14, TPM: 93.4, Sum(ms): 125, Avg(ms): 8, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 8.7, Count: 10, TPM: 68.9, Sum(ms): 1285, Avg(ms): 128, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] NEW_ORDER - Takes(s): 10.0, Count: 119, TPM: 715.2, Sum(ms): 5089, Avg(ms): 42, 90th(ms): 64, 99th(ms): 64, 99.9th(ms): 80
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 14, TPM: 84.8, Sum(ms): 96, Avg(ms): 6, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] PAYMENT - Takes(s): 9.9, Count: 103, TPM: 621.8, Sum(ms): 3311, Avg(ms): 32, 90th(ms): 48, 99th(ms): 64, 99.9th(ms): 64
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 8, TPM: 51.3, Sum(ms): 79, Avg(ms): 9, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] DELIVERY - Takes(s): 9.1, Count: 9, TPM: 59.3, Sum(ms): 1155, Avg(ms): 128, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] NEW_ORDER - Takes(s): 10.0, Count: 128, TPM: 768.4, Sum(ms): 5334, Avg(ms): 41, 90th(ms): 64, 99th(ms): 80, 99.9th(ms): 80
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 7, TPM: 43.6, Sum(ms): 44, Avg(ms): 6, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 10.0, Count: 105, TPM: 631.8, Sum(ms): 3251, Avg(ms): 30, 90th(ms): 64, 99th(ms): 64, 99.9th(ms): 64
[Current] STOCK_LEVEL - Takes(s): 8.9, Count: 11, TPM: 74.0, Sum(ms): 97, Avg(ms): 8, 90th(ms): 9, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 8.9, Count: 14, TPM: 94.8, Sum(ms): 1253, Avg(ms): 89, 90th(ms): 112, 99th(ms): 112, 99.9th(ms): 112
[Current] NEW_ORDER - Takes(s): 10.0, Count: 164, TPM: 988.6, Sum(ms): 4862, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 48
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 17, TPM: 102.8, Sum(ms): 111, Avg(ms): 6, 90th(ms): 9, 99th(ms): 12, 99.9th(ms): 12
[Current] PAYMENT - Takes(s): 10.0, Count: 169, TPM: 1014.7, Sum(ms): 3442, Avg(ms): 20, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 32
[Current] STOCK_LEVEL - Takes(s): 9.2, Count: 14, TPM: 91.1, Sum(ms): 125, Avg(ms): 8, 90th(ms): 9, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 9.7, Count: 20, TPM: 123.1, Sum(ms): 1768, Avg(ms): 88, 90th(ms): 96, 99th(ms): 112, 99.9th(ms): 112
[Current] NEW_ORDER - Takes(s): 10.0, Count: 160, TPM: 960.1, Sum(ms): 4715, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 48
[Current] ORDER_STATUS - Takes(s): 9.0, Count: 13, TPM: 86.3, Sum(ms): 81, Avg(ms): 6, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.9, Count: 152, TPM: 922.6, Sum(ms): 3121, Avg(ms): 20, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 32
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 15, TPM: 95.2, Sum(ms): 136, Avg(ms): 9, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] DELIVERY - Takes(s): 9.9, Count: 12, TPM: 72.7, Sum(ms): 1087, Avg(ms): 90, 90th(ms): 96, 99th(ms): 96, 99.9th(ms): 96
[Current] NEW_ORDER - Takes(s): 10.0, Count: 169, TPM: 1014.7, Sum(ms): 5006, Avg(ms): 29, 90th(ms): 40, 99th(ms): 48, 99.9th(ms): 48
[Current] ORDER_STATUS - Takes(s): 7.5, Count: 10, TPM: 79.5, Sum(ms): 60, Avg(ms): 6, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.8, Count: 169, TPM: 1029.7, Sum(ms): 3493, Avg(ms): 20, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 32
[Current] STOCK_LEVEL - Takes(s): 9.3, Count: 20, TPM: 129.6, Sum(ms): 176, Avg(ms): 8, 90th(ms): 9, 99th(ms): 12, 99.9th(ms): 12
[Current] NEW_ORDER - Takes(s): 6.3, Count: 3, TPM: 28.5, Sum(ms): 3054, Avg(ms): 1018, 90th(ms): 2000, 99th(ms): 2000, 99.9th(ms): 2000
[Current] PAYMENT - Takes(s): 9.1, Count: 8, TPM: 52.7, Sum(ms): 8523, Avg(ms): 1065, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 8.8, Count: 2, TPM: 13.7, Sum(ms): 4367, Avg(ms): 2183, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] ORDER_STATUS - Takes(s): 8.8, Count: 1, TPM: 6.8, Sum(ms): 24, Avg(ms): 24, 90th(ms): 24, 99th(ms): 24, 99.9th(ms): 24
[Current] PAYMENT - Takes(s): 7.3, Count: 3, TPM: 24.6, Sum(ms): 4537, Avg(ms): 1512, 90th(ms): 2000, 99th(ms): 2000, 99.9th(ms): 2000
[Current] NEW_ORDER - Takes(s): 7.8, Count: 1, TPM: 7.7, Sum(ms): 3374, Avg(ms): 3374, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 9.8, Count: 1, TPM: 6.1, Sum(ms): 8017, Avg(ms): 8017, 90th(ms): 16000, 99th(ms): 16000, 99.9th(ms): 16000
[Current] ORDER_STATUS - Takes(s): 7.4, Count: 1, TPM: 8.1, Sum(ms): 1029, Avg(ms): 1029, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] PAYMENT - Takes(s): 8.4, Count: 2, TPM: 14.3, Sum(ms): 6889, Avg(ms): 3444, 90th(ms): 8000, 99th(ms): 8000, 99.9th(ms): 8000
[Current] STOCK_LEVEL - Takes(s): 0.7, Count: 1, TPM: 82.6, Sum(ms): 1167, Avg(ms): 1167, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] PAYMENT - Takes(s): 6.3, Count: 2, TPM: 18.9, Sum(ms): 8019, Avg(ms): 4009, 90th(ms): 8000, 99th(ms): 8000, 99.9th(ms): 8000
[Current] NEW_ORDER - Takes(s): 4.7, Count: 1, TPM: 12.8, Sum(ms): 8000, Avg(ms): 8000, 90th(ms): 8000, 99th(ms): 8000, 99.9th(ms): 8000
[Current] PAYMENT - Takes(s): 1.1, Count: 1, TPM: 55.3, Sum(ms): 3619, Avg(ms): 3619, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 6.8, Count: 1, TPM: 8.8, Sum(ms): 2217, Avg(ms): 2217, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] PAYMENT - Takes(s): 9.0, Count: 3, TPM: 19.9, Sum(ms): 7562, Avg(ms): 2520, 90th(ms): 8000, 99th(ms): 8000, 99.9th(ms): 8000
[Current] NEW_ORDER - Takes(s): 9.1, Count: 6, TPM: 39.6, Sum(ms): 4013, Avg(ms): 668, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] PAYMENT - Takes(s): 9.9, Count: 10, TPM: 60.5, Sum(ms): 6967, Avg(ms): 696, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] STOCK_LEVEL - Takes(s): 0.3, Count: 1, TPM: 203.6, Sum(ms): 19, Avg(ms): 19, 90th(ms): 20, 99th(ms): 20, 99.9th(ms): 20
[Current] DELIVERY - Takes(s): 3.3, Count: 5, TPM: 91.8, Sum(ms): 694, Avg(ms): 138, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] NEW_ORDER - Takes(s): 9.0, Count: 46, TPM: 307.0, Sum(ms): 6025, Avg(ms): 130, 90th(ms): 512, 99th(ms): 1000, 99.9th(ms): 1000
[Current] ORDER_STATUS - Takes(s): 5.7, Count: 3, TPM: 31.6, Sum(ms): 28, Avg(ms): 9, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] PAYMENT - Takes(s): 9.5, Count: 45, TPM: 283.4, Sum(ms): 3374, Avg(ms): 74, 90th(ms): 512, 99th(ms): 1000, 99.9th(ms): 1000
[Current] STOCK_LEVEL - Takes(s): 7.4, Count: 5, TPM: 40.6, Sum(ms): 120, Avg(ms): 24, 90th(ms): 80, 99th(ms): 80, 99.9th(ms): 80
[Current] DELIVERY - Takes(s): 6.6, Count: 5, TPM: 45.4, Sum(ms): 1300, Avg(ms): 260, 90th(ms): 1000, 99th(ms): 1000, 99.9th(ms): 1000
[Current] NEW_ORDER - Takes(s): 10.0, Count: 76, TPM: 457.5, Sum(ms): 5115, Avg(ms): 67, 90th(ms): 256, 99th(ms): 512, 99.9th(ms): 512
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 7, TPM: 42.9, Sum(ms): 48, Avg(ms): 6, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.8, Count: 66, TPM: 404.4, Sum(ms): 3410, Avg(ms): 51, 90th(ms): 128, 99th(ms): 512, 99.9th(ms): 512
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 4, TPM: 25.1, Sum(ms): 56, Avg(ms): 14, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] NEW_ORDER - Takes(s): 9.9, Count: 7, TPM: 42.4, Sum(ms): 4501, Avg(ms): 643, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 1, TPM: 6.3, Sum(ms): 7, Avg(ms): 7, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.9, Count: 10, TPM: 60.9, Sum(ms): 4331, Avg(ms): 433, 90th(ms): 2000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 1, TPM: 6.4, Sum(ms): 14, Avg(ms): 14, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] NEW_ORDER - Takes(s): 5.0, Count: 5, TPM: 60.0, Sum(ms): 7173, Avg(ms): 1434, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] ORDER_STATUS - Takes(s): 4.3, Count: 1, TPM: 14.1, Sum(ms): 9, Avg(ms): 9, 90th(ms): 9, 99th(ms): 9, 99.9th(ms): 9
[Current] PAYMENT - Takes(s): 8.6, Count: 2, TPM: 14.0, Sum(ms): 3240, Avg(ms): 1620, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 8.3, Count: 16, TPM: 115.8, Sum(ms): 7579, Avg(ms): 473, 90th(ms): 1000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] PAYMENT - Takes(s): 7.9, Count: 8, TPM: 61.0, Sum(ms): 3222, Avg(ms): 402, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] STOCK_LEVEL - Takes(s): 1.0, Count: 1, TPM: 61.4, Sum(ms): 20, Avg(ms): 20, 90th(ms): 20, 99th(ms): 20, 99.9th(ms): 20
[Current] DELIVERY - Takes(s): 9.1, Count: 13, TPM: 85.7, Sum(ms): 1841, Avg(ms): 141, 90th(ms): 192, 99th(ms): 256, 99.9th(ms): 256
[Current] NEW_ORDER - Takes(s): 10.0, Count: 105, TPM: 631.4, Sum(ms): 4554, Avg(ms): 43, 90th(ms): 80, 99th(ms): 80, 99.9th(ms): 80
[Current] ORDER_STATUS - Takes(s): 8.9, Count: 10, TPM: 67.0, Sum(ms): 65, Avg(ms): 6, 90th(ms): 9, 99th(ms): 16, 99.9th(ms): 16
[Current] PAYMENT - Takes(s): 9.8, Count: 105, TPM: 643.1, Sum(ms): 3266, Avg(ms): 31, 90th(ms): 64, 99th(ms): 80, 99.9th(ms): 80
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 11, TPM: 68.0, Sum(ms): 169, Avg(ms): 15, 90th(ms): 20, 99th(ms): 40, 99.9th(ms): 40
[Current] DELIVERY - Takes(s): 8.8, Count: 7, TPM: 47.9, Sum(ms): 1775, Avg(ms): 253, 90th(ms): 1000, 99th(ms): 1000, 99.9th(ms): 1000
[Current] NEW_ORDER - Takes(s): 10.0, Count: 48, TPM: 289.4, Sum(ms): 3501, Avg(ms): 72, 90th(ms): 160, 99th(ms): 1000, 99.9th(ms): 1000
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 3, TPM: 19.2, Sum(ms): 22, Avg(ms): 7, 90th(ms): 9, 99th(ms): 9, 99.9th(ms): 9
